dir;receptor;fingerprint;model;mean_test_auc;mean_test_bal-acc;mean_test_acc;mean_test_mcc;mean_test_recall
data;NPC1;FP;Linear SVM;0.993;0.045;0.045;-0.91;0.03
data;NPC1;KRFP;RBF SVM;0.993;0.045;0.045;-0.915;0.0
data;NPC1;Substr;RBF SVM;0.993;0.045;0.045;-0.915;0.0
data;NPC1;Ext;RBF SVM;0.993;0.045;0.045;-0.915;0.0
data;NPC1;PubCh;RBF SVM;0.993;0.045;0.045;-0.91;0.03
data;NPC1;PubCh;Linear SVM;0.993;0.045;0.045;-0.915;0.0
data;NPC1;MACCS;RBF SVM;0.993;0.045;0.045;-0.915;0.0
data;NPC1;MACCS;Linear SVM;0.993;0.045;0.045;-0.915;0.03
data;NPC1;KRFP;Linear SVM;0.993;0.045;0.045;-0.915;0.0
data;NPC1;GraphOnly;RBF SVM;0.993;0.061;0.061;-0.888;0.0
data;NPC1;GraphOnly;Linear SVM;0.993;0.045;0.045;-0.91;0.03
data;NPC1;Ext;Linear SVM;0.993;0.045;0.045;-0.915;0.0
data;NPC1;FP;RBF SVM;0.993;0.045;0.045;-0.915;0.0
data;HIVint;3D_noH;LogisticRegression;0.987;0.962;0.979;0.916;0.939
data;HIVint;3D_noH;Linear SVM;0.987;0.96;0.975;0.903;0.939
data;HIVint;3D_noH;RBF SVM;0.986;0.952;0.983;0.929;0.909
data;HIVint;3D_H;supervised_AE;0.985;0.967;0.967;0.936;0.944
pca_0.9;delta;3D_H;RBF SVM;0.982;0.929;0.932;0.852;0.938
data;delta;3D_H;RBF SVM;0.982;0.934;0.936;0.862;0.94
data;delta;2D_noH;LogisticRegression;0.982;0.936;0.934;0.859;0.931
data;delta;2D_H;LogisticRegression;0.982;0.936;0.934;0.859;0.931
data;NPC1;Est;RBF SVM;0.981;0.061;0.061;-0.888;0.0
data;delta;3D_H;LogisticRegression;0.98;0.934;0.936;0.861;0.94
data;HIVint;3D_H;sAE_SoftMax;0.979;0.96;0.96;0.923;0.924
pca_100;delta;3D_H;RBF SVM;0.979;0.937;0.937;0.865;0.938
data;delta;3D_H;Linear SVM;0.978;0.935;0.933;0.857;0.928
data;delta;2D_noH;RBF SVM;0.978;0.935;0.935;0.861;0.936
data;delta;2D_H;Linear SVM;0.978;0.936;0.935;0.861;0.934
data;delta;2D_H;RBF SVM;0.978;0.935;0.935;0.861;0.936
data;delta;2D_noH;Linear SVM;0.978;0.936;0.935;0.861;0.934
data;catL;3D_H;supervised_AE;0.977;0.918;0.918;0.847;0.836
data;delta;3D_noH;LogisticRegression;0.976;0.918;0.928;0.84;0.95
pca_0.9;delta;3D_H;LogisticRegression;0.976;0.933;0.932;0.854;0.93
data;delta;3D_noH;RBF SVM;0.975;0.911;0.923;0.829;0.95
data;NPC1;Est;Linear SVM;0.975;0.121;0.121;-0.784;0.03
data;delta;Ext;RBF SVM;0.973;0.907;0.91;0.807;0.917
pca_0.9;delta;3D_H;Linear SVM;0.973;0.93;0.928;0.846;0.923
data;delta;FP;RBF SVM;0.972;0.914;0.917;0.822;0.923
pca_0.9;HIVint;3D_H;LogisticRegression;0.972;0.934;0.974;0.892;0.879
pca_100;HIVint;3D_H;RBF SVM;0.972;0.917;0.965;0.854;0.848
data;catL;KRFP;RBF SVM;0.971;0.925;0.941;0.849;0.889
data;mi;3D_H;LogisticRegression;0.971;0.905;0.923;0.808;0.946
data;5HT6;Ext;RBF SVM;0.97;0.821;0.95;0.73;0.988
data;mi;2D_H;RBF SVM;0.97;0.915;0.935;0.836;0.959
data;mi;2D_noH;RBF SVM;0.97;0.915;0.935;0.836;0.959
data;HIVint;3D_H;LogisticRegression;0.97;0.952;0.983;0.929;0.909
pca_100;HIVint;3D_H;LogisticRegression;0.97;0.886;0.935;0.752;0.818
data;HIVint;2D_H;RBF SVM;0.969;0.826;0.942;0.733;0.667
pca_0.9;HIVint;3D_H;RBF SVM;0.969;0.947;0.974;0.896;0.909
data;HIVint;2D_noH;RBF SVM;0.969;0.826;0.942;0.733;0.667
data;delta;3D_noH;Linear SVM;0.969;0.912;0.922;0.826;0.944
data;delta;FP;LogisticRegression;0.969;0.906;0.913;0.811;0.93
data;catL;FP;LogisticRegression;0.968;0.891;0.912;0.777;0.847
data;catL;Ext;RBF SVM;0.968;0.899;0.897;0.762;0.903
data;delta;Ext;LogisticRegression;0.968;0.911;0.917;0.82;0.932
data;5HT6;3D_noH;LogisticRegression;0.968;0.892;0.936;0.733;0.95
data;catL;FP;RBF SVM;0.968;0.893;0.908;0.772;0.861
pca_0.9;HIVint;3D_H;Linear SVM;0.968;0.944;0.97;0.878;0.909
data;NPC1;Substr;Linear SVM;0.968;0.045;0.045;-0.915;0.03
data;catL;3D_H;sAE_SoftMax;0.967;0.91;0.91;0.827;0.851
data;5HT6;2D_H;LogisticRegression;0.967;0.906;0.927;0.721;0.934
data;HIVint;2D_noH;Linear SVM;0.967;0.856;0.951;0.77;0.727
data;HIVint;2D_H;Linear SVM;0.967;0.856;0.951;0.77;0.727
data;5HT6;2D_noH;LogisticRegression;0.967;0.906;0.927;0.721;0.934
pca_100;delta;3D_H;LogisticRegression;0.967;0.915;0.914;0.818;0.913
data;delta;3D_H;supervised_AE;0.967;0.939;0.939;0.878;0.93
data;mi;3D_H;RBF SVM;0.966;0.898;0.921;0.801;0.949
data;catL;FP;Linear SVM;0.966;0.891;0.912;0.778;0.847
data;HIVint;3D_H;RBF SVM;0.965;0.949;0.978;0.912;0.909
data;mi;3D_H;Linear SVM;0.965;0.895;0.913;0.787;0.936
data;delta;Ext;Linear SVM;0.965;0.896;0.902;0.788;0.917
pca_100;HIVint;3D_H;Linear SVM;0.965;0.881;0.926;0.724;0.818
data;HIVprot;3D_noH;LogisticRegression;0.964;0.893;0.92;0.767;0.939
data;delta;FP;Linear SVM;0.964;0.914;0.917;0.822;0.923
